Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,63.93,наличный,Могилев,БелАгропромбанк-XVRT-241,04-12-2023,17:39:57,успешно,нет,0.0
физ. лицо,списание средств,2812.91,безналичный,Могилев,МаксБанк-HUIF-467,24-12-2012,22:45:11,неправильный ввод пин-кода,да,163.04
юр. лицо,получение средств,2272.82,наличный,Гродно,Приорбанк-ZUKH-953,04-10-2005,05:36:37,успешно,нет,0.0
юр. лицо,списание средств,1313.18,наличный,Минск,Беларусбанк-XQBE-378,10-09-2008,17:38:38,успешно,да,100.7
физ. лицо,списание средств,2673.13,наличный,Гомель,Белинвестбанк-WAIT-603,17-10-2024,09:03:36,успешно,да,250.56
юр. лицо,списание средств,403.19,наличный,Гродно,Приорбанк-SKQP-465,30-06-2001,19:53:02,неправильный ввод пин-кода,да,26.42
юр. лицо,списание средств,3944.39,безналичный,Гродно,Белинвестбанк-YLXG-920,09-11-2004,00:18:27,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1962.1,безналичный,Могилев,БелАгропромбанк-NSHY-353,06-10-2024,23:38:18,успешно,нет,0.0
физ. лицо,списание средств,4649.84,безналичный,Могилев,Приорбанк-ELSF-736,20-02-2010,16:35:41,успешно,нет,0.0
юр. лицо,списание средств,2052.83,наличный,Могилев,Белинвестбанк-LGPV-568,09-08-2004,16:57:26,недостаточно средств,нет,0.0
юр. лицо,списание средств,1437.13,наличный,Гродно,Приорбанк-IPZD-736,02-06-2019,11:51:17,недостаточно средств,нет,0.0
юр. лицо,получение средств,4850.4,безналичный,Гродно,БелАгропромбанк-MRLE-860,08-07-2009,18:45:58,успешно,нет,0.0
физ. лицо,получение средств,1637.19,наличный,Гродно,БелАгропромбанк-UJQR-215,24-01-2017,17:16:12,успешно,нет,0.0
юр. лицо,списание средств,1152.26,безналичный,Минск,БелАгропромбанк-KGJG-019,01-05-2019,11:05:14,успешно,нет,0.0
юр. лицо,списание средств,3935.91,безналичный,Гродно,БелАгропромбанк-QHGS-246,10-09-2014,13:58:51,недостаточно средств,да,298.18
юр. лицо,получение средств,467.1,безналичный,Гомель,Приорбанк-DQVH-405,21-08-2009,04:22:17,успешно,нет,0.0
юр. лицо,списание средств,4549.57,наличный,Брест,Белинвестбанк-BVCW-992,13-10-2000,10:10:30,неправильный ввод пин-кода,да,127.46
физ. лицо,получение средств,1856.0,безналичный,Гомель,МаксБанк-GXJE-588,20-06-2024,00:29:17,успешно,нет,0.0
физ. лицо,списание средств,1539.98,безналичный,Могилев,Беларусбанк-STBJ-640,15-12-2023,11:10:04,недостаточно средств,да,126.67
юр. лицо,списание средств,4501.07,безналичный,Гродно,Приорбанк-LSLW-603,08-12-2015,07:57:12,успешно,нет,0.0
юр. лицо,получение средств,3060.73,наличный,Гродно,Белинвестбанк-QROB-628,09-02-2017,18:52:33,успешно,нет,0.0
юр. лицо,получение средств,539.87,наличный,Гродно,Беларусбанк-IAAN-725,11-06-2019,18:39:18,успешно,нет,0.0
физ. лицо,получение средств,57.94,безналичный,Брест,Приорбанк-SRSF-839,26-05-2005,18:13:30,успешно,нет,0.0
физ. лицо,получение средств,3076.8,наличный,Брест,Приорбанк-QPVQ-011,16-02-2021,09:40:44,успешно,нет,0.0
физ. лицо,списание средств,2930.88,наличный,Брест,Белинвестбанк-OPSY-559,08-04-2019,07:47:10,неправильный ввод пин-кода,да,122.82
физ. лицо,списание средств,4295.87,безналичный,Витебск,Беларусбанк-CVLL-549,30-10-2009,05:02:35,успешно,да,307.56
юр. лицо,списание средств,3754.06,наличный,Минск,Белинвестбанк-XLJB-692,31-08-2009,04:41:36,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4453.54,безналичный,Гомель,МаксБанк-JDZF-924,25-06-2004,17:46:41,успешно,да,440.03
физ. лицо,получение средств,1101.14,безналичный,Брест,Белинвестбанк-PIUE-047,12-05-2010,13:50:17,успешно,нет,0.0
юр. лицо,списание средств,3703.35,безналичный,Витебск,Белинвестбанк-JINX-459,26-11-2016,00:17:14,неправильный ввод пин-кода,да,223.77
физ. лицо,получение средств,292.91,наличный,Могилев,МаксБанк-QSWM-940,11-05-2015,11:56:33,успешно,нет,0.0
юр. лицо,получение средств,2944.44,безналичный,Брест,Белинвестбанк-KZDR-886,26-03-2015,03:50:04,успешно,нет,0.0
юр. лицо,списание средств,3067.76,безналичный,Витебск,Белинвестбанк-BEQG-325,20-08-2021,23:34:31,успешно,нет,0.0
юр. лицо,списание средств,2418.91,наличный,Витебск,БелАгропромбанк-YEXT-395,07-05-2023,04:09:26,недостаточно средств,да,89.54
юр. лицо,списание средств,844.39,безналичный,Минск,БелАгропромбанк-TDPH-221,21-12-2010,22:01:41,недостаточно средств,нет,0.0
физ. лицо,получение средств,1883.57,наличный,Брест,БелАгропромбанк-OCPJ-122,27-11-2016,17:46:32,успешно,нет,0.0
юр. лицо,списание средств,139.36,наличный,Гомель,Беларусбанк-CIKA-408,12-06-2013,15:26:41,недостаточно средств,да,10.13
физ. лицо,получение средств,997.69,наличный,Гомель,БелАгропромбанк-HDDA-532,13-05-2005,18:04:03,успешно,нет,0.0
юр. лицо,списание средств,2708.95,безналичный,Витебск,Приорбанк-NFQD-867,25-12-2007,13:45:34,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,822.79,наличный,Могилев,Приорбанк-LWUQ-588,01-12-2011,17:15:57,успешно,нет,0.0
юр. лицо,списание средств,2639.02,безналичный,Могилев,БелАгропромбанк-XPYC-135,25-09-2019,02:17:27,успешно,нет,0.0
физ. лицо,списание средств,4824.55,наличный,Витебск,БелАгропромбанк-QPKO-393,15-07-2005,04:16:37,успешно,нет,0.0
юр. лицо,получение средств,693.44,наличный,Могилев,БелАгропромбанк-PMWK-282,03-06-2017,20:40:13,успешно,нет,0.0
юр. лицо,получение средств,4182.87,безналичный,Минск,Белинвестбанк-RPFR-811,13-08-2006,17:45:53,успешно,нет,0.0
физ. лицо,списание средств,4990.33,наличный,Гродно,Беларусбанк-NMXL-923,15-11-2002,11:11:11,недостаточно средств,нет,0.0
юр. лицо,списание средств,4612.43,наличный,Могилев,МаксБанк-FONW-441,12-02-2024,15:56:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2054.09,безналичный,Брест,Приорбанк-FVUR-300,12-06-2007,05:44:09,недостаточно средств,нет,0.0
юр. лицо,получение средств,2431.6,наличный,Гомель,МаксБанк-LSZW-540,08-12-2010,04:32:04,успешно,нет,0.0
физ. лицо,получение средств,4868.6,наличный,Гомель,БелАгропромбанк-NMDN-529,01-12-2018,22:41:09,успешно,нет,0.0
физ. лицо,списание средств,1059.87,безналичный,Гомель,Приорбанк-TXVR-369,08-04-2023,11:24:09,успешно,да,10.72
физ. лицо,списание средств,2360.4,безналичный,Брест,БелАгропромбанк-OXCJ-297,03-07-2016,22:42:50,недостаточно средств,да,197.31
физ. лицо,списание средств,3933.14,наличный,Витебск,Беларусбанк-CFJK-915,25-07-2009,15:36:59,недостаточно средств,нет,0.0
юр. лицо,получение средств,3663.47,безналичный,Гродно,БелАгропромбанк-VBAG-329,26-12-2023,21:47:55,успешно,нет,0.0
юр. лицо,получение средств,1995.03,безналичный,Гродно,БелАгропромбанк-WDDM-315,07-12-2004,23:11:26,успешно,нет,0.0
юр. лицо,списание средств,4597.82,безналичный,Могилев,Белинвестбанк-UKTH-021,24-08-2019,03:54:53,неправильный ввод пин-кода,да,455.14
юр. лицо,списание средств,1928.85,наличный,Витебск,Беларусбанк-KTWW-466,17-03-2014,11:21:32,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1005.59,наличный,Брест,Приорбанк-URAP-740,07-11-2019,20:05:41,успешно,нет,0.0
физ. лицо,списание средств,1419.23,безналичный,Могилев,Приорбанк-BBUR-761,29-10-2012,14:49:56,недостаточно средств,нет,0.0
физ. лицо,списание средств,3036.77,наличный,Гомель,Белинвестбанк-EBUV-701,08-03-2009,13:08:58,недостаточно средств,нет,0.0
физ. лицо,получение средств,442.74,безналичный,Брест,МаксБанк-APRK-124,25-08-2005,20:26:22,успешно,нет,0.0
физ. лицо,получение средств,1294.67,наличный,Брест,Белинвестбанк-VPNA-182,23-06-2017,14:38:31,успешно,нет,0.0
юр. лицо,списание средств,3752.17,наличный,Брест,Белинвестбанк-PMZJ-124,12-02-2011,06:46:21,недостаточно средств,нет,0.0
юр. лицо,получение средств,3379.31,безналичный,Минск,Белинвестбанк-MWWQ-072,07-03-2018,11:13:49,успешно,нет,0.0
юр. лицо,получение средств,1301.76,безналичный,Гомель,Приорбанк-GSBG-653,12-05-2002,03:56:54,успешно,нет,0.0
физ. лицо,списание средств,4970.9,наличный,Витебск,Приорбанк-YNMP-392,17-04-2021,02:47:45,успешно,да,365.54
физ. лицо,получение средств,3427.13,безналичный,Гомель,Белинвестбанк-OMPZ-476,31-10-2020,08:28:47,успешно,нет,0.0
физ. лицо,списание средств,2878.14,безналичный,Брест,Беларусбанк-KZGI-029,26-07-2016,23:15:11,успешно,нет,0.0
юр. лицо,списание средств,2325.9,наличный,Брест,БелАгропромбанк-UTPE-567,05-11-2017,13:12:20,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4660.54,наличный,Гродно,Беларусбанк-EUER-780,20-05-2016,14:06:28,успешно,нет,0.0
физ. лицо,получение средств,82.84,безналичный,Минск,МаксБанк-BWTH-822,29-06-2019,14:09:24,успешно,нет,0.0
юр. лицо,списание средств,4947.59,безналичный,Гродно,Белинвестбанк-XIPV-885,20-11-2023,05:01:37,неправильный ввод пин-кода,да,330.55
юр. лицо,списание средств,1606.4,безналичный,Гродно,Беларусбанк-OKRU-155,17-11-2017,21:14:50,недостаточно средств,да,134.63
физ. лицо,списание средств,824.1,наличный,Гомель,БелАгропромбанк-OBHS-702,03-09-2003,10:12:28,неправильный ввод пин-кода,да,25.63
юр. лицо,списание средств,4452.85,безналичный,Гомель,МаксБанк-RNQP-527,08-01-2021,07:50:31,успешно,да,371.22
юр. лицо,получение средств,1452.36,безналичный,Могилев,БелАгропромбанк-OEIS-058,12-07-2016,20:07:15,успешно,нет,0.0
физ. лицо,получение средств,3734.47,безналичный,Гродно,Белинвестбанк-KQGN-324,13-07-2024,09:42:57,успешно,нет,0.0
физ. лицо,списание средств,1641.29,наличный,Могилев,МаксБанк-JMNJ-958,27-10-2015,21:41:35,неправильный ввод пин-кода,да,34.27
юр. лицо,получение средств,4065.1,безналичный,Минск,МаксБанк-UTVZ-091,21-08-2006,21:38:55,успешно,нет,0.0
юр. лицо,получение средств,436.63,наличный,Могилев,Приорбанк-LRJY-336,27-09-2004,08:06:15,успешно,нет,0.0
физ. лицо,списание средств,2671.99,безналичный,Могилев,БелАгропромбанк-XNCK-865,09-06-2017,07:29:21,недостаточно средств,да,219.06
физ. лицо,списание средств,1883.08,наличный,Витебск,БелАгропромбанк-WHON-056,27-08-2020,14:30:45,неправильный ввод пин-кода,да,61.44
юр. лицо,списание средств,3940.84,наличный,Могилев,Белинвестбанк-VOXP-735,21-12-2012,14:38:38,недостаточно средств,да,327.84
физ. лицо,списание средств,4773.2,безналичный,Гродно,Беларусбанк-GTIM-611,18-10-2012,06:30:49,неправильный ввод пин-кода,да,474.33
юр. лицо,списание средств,717.91,безналичный,Витебск,Приорбанк-FCUW-162,27-12-2015,03:03:24,недостаточно средств,да,33.78
юр. лицо,списание средств,4855.42,безналичный,Брест,Приорбанк-ZORA-197,30-05-2018,04:28:52,неправильный ввод пин-кода,да,81.51
физ. лицо,получение средств,3269.53,наличный,Гомель,МаксБанк-XHNC-985,10-06-2015,11:02:33,успешно,нет,0.0
физ. лицо,получение средств,2540.84,безналичный,Брест,БелАгропромбанк-XVJV-327,16-04-2004,11:26:41,успешно,нет,0.0
физ. лицо,получение средств,1133.8,безналичный,Минск,МаксБанк-LVCN-559,16-04-2019,09:04:41,успешно,нет,0.0
юр. лицо,списание средств,4523.24,безналичный,Минск,Беларусбанк-WQTC-480,05-02-2002,09:18:52,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4234.24,безналичный,Витебск,МаксБанк-QNKK-260,10-01-2012,16:49:51,успешно,нет,0.0
юр. лицо,получение средств,2873.96,наличный,Минск,Белинвестбанк-JJAS-255,14-08-2017,12:05:11,успешно,нет,0.0
юр. лицо,списание средств,4993.54,безналичный,Могилев,МаксБанк-FWKO-328,30-07-2011,07:45:28,успешно,нет,0.0
физ. лицо,списание средств,19.89,наличный,Гродно,Белинвестбанк-PRIP-776,09-04-2016,18:34:03,недостаточно средств,нет,0.0
юр. лицо,получение средств,4430.22,наличный,Минск,МаксБанк-DLEL-947,04-03-2013,09:22:32,успешно,нет,0.0
физ. лицо,получение средств,3270.33,безналичный,Витебск,Белинвестбанк-FFHW-576,13-11-2015,10:59:23,успешно,нет,0.0
физ. лицо,списание средств,3861.47,наличный,Минск,Приорбанк-WHTW-779,18-06-2004,16:16:52,недостаточно средств,да,159.38
физ. лицо,получение средств,1955.84,наличный,Могилев,МаксБанк-WENM-351,17-04-2007,14:57:48,успешно,нет,0.0
физ. лицо,списание средств,550.03,наличный,Брест,БелАгропромбанк-ZHGS-134,08-06-2004,08:00:49,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1181.96,безналичный,Минск,МаксБанк-QDRA-960,09-07-2011,18:15:01,успешно,нет,0.0
юр. лицо,получение средств,3655.59,безналичный,Могилев,Приорбанк-BQIE-971,14-09-2021,03:15:18,успешно,нет,0.0
юр. лицо,получение средств,1724.73,наличный,Брест,Приорбанк-MZDG-439,20-11-2006,11:31:54,успешно,нет,0.0
юр. лицо,списание средств,3873.18,безналичный,Гомель,Белинвестбанк-EFTX-312,09-08-2014,10:26:22,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1587.08,наличный,Гомель,Белинвестбанк-JRNZ-097,06-01-2000,04:17:10,неправильный ввод пин-кода,да,156.95
физ. лицо,получение средств,2824.0,безналичный,Могилев,Приорбанк-UZCS-292,05-09-2007,16:01:59,успешно,нет,0.0
юр. лицо,получение средств,1753.71,безналичный,Брест,МаксБанк-MPEH-893,25-10-2020,07:19:20,успешно,нет,0.0
юр. лицо,получение средств,1982.52,безналичный,Могилев,Беларусбанк-MMME-889,23-07-2018,23:40:34,успешно,нет,0.0
юр. лицо,списание средств,1210.05,безналичный,Витебск,МаксБанк-UXVL-351,02-05-2010,05:57:57,неправильный ввод пин-кода,да,65.91
физ. лицо,получение средств,3955.75,безналичный,Гомель,БелАгропромбанк-YPRF-874,28-12-2014,13:12:43,успешно,нет,0.0
юр. лицо,получение средств,855.47,наличный,Витебск,Белинвестбанк-AKKF-937,18-03-2004,01:45:30,успешно,нет,0.0
юр. лицо,получение средств,865.41,безналичный,Минск,БелАгропромбанк-APSE-846,15-07-2005,12:21:10,успешно,нет,0.0
физ. лицо,получение средств,1009.27,наличный,Минск,Белинвестбанк-WOQL-349,21-06-2007,13:46:04,успешно,нет,0.0
физ. лицо,списание средств,1298.11,наличный,Гродно,Белинвестбанк-PVXQ-434,13-06-2011,10:47:50,успешно,да,47.14
юр. лицо,списание средств,4407.76,наличный,Брест,Беларусбанк-VJXS-822,26-05-2008,18:41:41,успешно,да,56.92
физ. лицо,получение средств,505.54,наличный,Могилев,БелАгропромбанк-APEY-959,05-02-2001,19:53:43,успешно,нет,0.0
физ. лицо,получение средств,2052.91,безналичный,Гродно,БелАгропромбанк-HHJL-628,10-02-2010,17:11:36,успешно,нет,0.0
физ. лицо,получение средств,420.83,безналичный,Брест,БелАгропромбанк-BZRU-157,27-07-2012,13:06:28,успешно,нет,0.0
юр. лицо,списание средств,850.4,наличный,Брест,Беларусбанк-TWHB-134,07-06-2017,01:06:06,успешно,да,11.99
юр. лицо,получение средств,2925.59,наличный,Витебск,Приорбанк-GWSZ-773,17-08-2024,04:03:47,успешно,нет,0.0
физ. лицо,получение средств,1118.66,наличный,Гомель,Белинвестбанк-ZHRO-353,02-09-2010,15:08:30,успешно,нет,0.0
юр. лицо,списание средств,2149.33,безналичный,Могилев,Беларусбанк-UVBP-482,18-05-2013,09:13:21,успешно,нет,0.0
юр. лицо,списание средств,4298.86,наличный,Витебск,Приорбанк-ADBU-505,13-11-2008,05:49:25,недостаточно средств,нет,0.0
физ. лицо,получение средств,2650.23,безналичный,Минск,Белинвестбанк-XCET-988,18-02-2023,00:54:36,успешно,нет,0.0
физ. лицо,списание средств,3997.83,безналичный,Гродно,Белинвестбанк-LDWH-237,14-06-2005,09:44:18,успешно,нет,0.0
физ. лицо,получение средств,1104.31,наличный,Витебск,Белинвестбанк-ADWJ-866,10-01-2009,11:45:23,успешно,нет,0.0
физ. лицо,списание средств,1913.21,безналичный,Могилев,Беларусбанк-QQXE-564,07-02-2007,03:52:31,успешно,нет,0.0
юр. лицо,списание средств,230.46,безналичный,Брест,Приорбанк-TMTA-149,29-08-2020,19:42:37,недостаточно средств,да,13.11
физ. лицо,списание средств,1237.82,безналичный,Гродно,Белинвестбанк-QTQP-005,13-11-2008,17:53:40,успешно,нет,0.0
физ. лицо,списание средств,4120.53,безналичный,Гомель,Приорбанк-AWWD-077,01-11-2019,04:03:05,успешно,да,309.08
юр. лицо,списание средств,1200.88,безналичный,Минск,Беларусбанк-ULKL-565,12-07-2019,15:27:19,неправильный ввод пин-кода,да,117.22
физ. лицо,получение средств,3638.17,наличный,Минск,БелАгропромбанк-FYLG-368,24-04-2003,08:59:32,успешно,нет,0.0
физ. лицо,получение средств,2249.38,безналичный,Могилев,Приорбанк-VYDM-269,05-01-2008,12:16:22,успешно,нет,0.0
физ. лицо,списание средств,2917.93,безналичный,Могилев,Приорбанк-JVJN-108,16-12-2000,04:51:49,недостаточно средств,нет,0.0
физ. лицо,получение средств,4303.23,безналичный,Гомель,Беларусбанк-UKCY-268,27-03-2009,14:11:36,успешно,нет,0.0
физ. лицо,списание средств,2682.26,безналичный,Гомель,МаксБанк-NXXN-260,22-10-2011,20:09:49,недостаточно средств,да,124.78
юр. лицо,списание средств,2707.36,безналичный,Минск,Приорбанк-ZRPQ-245,24-08-2020,16:34:58,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,772.74,наличный,Гомель,Приорбанк-VJTH-083,29-06-2002,14:03:58,успешно,нет,0.0
юр. лицо,получение средств,906.87,наличный,Брест,Беларусбанк-ONTF-944,22-06-2006,09:14:36,успешно,нет,0.0
юр. лицо,получение средств,2269.23,наличный,Гродно,Беларусбанк-CWAN-078,10-09-2005,00:46:57,успешно,нет,0.0
физ. лицо,получение средств,853.08,наличный,Гродно,Беларусбанк-STDV-241,03-10-2021,06:52:01,успешно,нет,0.0
юр. лицо,списание средств,2848.67,безналичный,Могилев,Приорбанк-RPON-050,03-02-2004,10:17:45,неправильный ввод пин-кода,да,225.6
юр. лицо,получение средств,3545.88,наличный,Брест,Приорбанк-FMSV-353,11-11-2019,17:06:06,успешно,нет,0.0
юр. лицо,получение средств,4217.96,безналичный,Минск,МаксБанк-FQYH-750,10-01-2020,03:44:58,успешно,нет,0.0
юр. лицо,списание средств,4326.89,наличный,Гомель,МаксБанк-TLZR-611,03-07-2002,01:02:20,успешно,да,63.25
физ. лицо,списание средств,4599.44,безналичный,Минск,Белинвестбанк-KBFC-238,27-02-2023,22:14:26,успешно,нет,0.0
физ. лицо,списание средств,602.29,наличный,Могилев,Беларусбанк-MREB-471,11-07-2003,11:11:46,успешно,да,39.46
физ. лицо,получение средств,3484.07,безналичный,Минск,Беларусбанк-JPLR-080,03-08-2019,20:21:11,успешно,нет,0.0
физ. лицо,получение средств,189.24,безналичный,Брест,Белинвестбанк-GGCI-213,24-10-2014,03:50:39,успешно,нет,0.0
физ. лицо,списание средств,1418.97,безналичный,Витебск,БелАгропромбанк-NZPP-055,09-07-2016,05:09:51,неправильный ввод пин-кода,да,86.9
физ. лицо,списание средств,4072.26,безналичный,Витебск,БелАгропромбанк-CYSN-015,24-04-2010,08:57:21,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,197.56,безналичный,Витебск,БелАгропромбанк-ZSBK-567,02-11-2007,12:58:37,успешно,нет,0.0
физ. лицо,получение средств,1296.87,наличный,Гомель,БелАгропромбанк-MDMQ-771,27-04-2001,16:21:33,успешно,нет,0.0
юр. лицо,списание средств,3768.64,наличный,Брест,МаксБанк-LYDQ-596,30-09-2018,09:36:24,успешно,нет,0.0
юр. лицо,списание средств,4511.87,безналичный,Брест,Беларусбанк-ZPEL-419,15-04-2024,01:58:31,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4223.48,наличный,Брест,БелАгропромбанк-SMWV-174,21-09-2024,02:00:54,успешно,нет,0.0
физ. лицо,получение средств,44.57,безналичный,Минск,Белинвестбанк-DOLU-200,19-02-2013,11:54:09,успешно,нет,0.0
физ. лицо,списание средств,184.46,наличный,Могилев,Приорбанк-IWNN-312,12-04-2023,17:44:26,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3426.66,безналичный,Гродно,БелАгропромбанк-THSO-247,06-05-2020,22:30:25,недостаточно средств,нет,0.0
физ. лицо,получение средств,2093.83,безналичный,Гомель,МаксБанк-HBWI-614,19-01-2019,13:31:40,успешно,нет,0.0
физ. лицо,получение средств,2980.01,наличный,Могилев,Беларусбанк-CRCU-125,25-11-2009,20:02:16,успешно,нет,0.0
юр. лицо,списание средств,4550.19,наличный,Минск,БелАгропромбанк-UWJS-926,27-12-2016,01:44:39,успешно,нет,0.0
юр. лицо,получение средств,2317.39,безналичный,Гомель,БелАгропромбанк-VXWK-626,08-09-2010,22:28:38,успешно,нет,0.0
физ. лицо,списание средств,2977.26,безналичный,Минск,Приорбанк-XSIE-553,28-05-2008,00:21:17,успешно,да,67.3
юр. лицо,получение средств,4497.58,наличный,Минск,МаксБанк-AOAI-654,24-12-2006,13:32:55,успешно,нет,0.0
юр. лицо,списание средств,4374.75,наличный,Гродно,Приорбанк-KEPJ-961,14-01-2006,06:03:08,недостаточно средств,да,104.82
юр. лицо,получение средств,705.38,наличный,Гродно,Белинвестбанк-BBMK-508,14-07-2011,15:44:27,успешно,нет,0.0
физ. лицо,получение средств,1108.77,наличный,Могилев,БелАгропромбанк-FHRD-878,04-02-2007,05:04:48,успешно,нет,0.0
юр. лицо,получение средств,2215.3,безналичный,Витебск,Белинвестбанк-XVLK-463,06-09-2011,06:56:31,успешно,нет,0.0
физ. лицо,получение средств,3776.12,безналичный,Брест,БелАгропромбанк-ANRO-456,21-04-2020,00:00:56,успешно,нет,0.0
физ. лицо,получение средств,4862.16,безналичный,Гродно,МаксБанк-QJYU-208,20-10-2013,00:33:04,успешно,нет,0.0
юр. лицо,получение средств,3345.69,наличный,Гомель,МаксБанк-UWVR-489,23-07-2014,01:12:42,успешно,нет,0.0
физ. лицо,списание средств,2077.82,наличный,Брест,Приорбанк-HJWN-261,25-07-2024,17:44:58,недостаточно средств,да,109.89
юр. лицо,списание средств,4584.87,безналичный,Витебск,МаксБанк-ZPUM-116,14-04-2014,05:09:26,успешно,да,422.23
юр. лицо,списание средств,4252.23,безналичный,Гомель,МаксБанк-SEHW-554,04-01-2015,14:46:25,недостаточно средств,да,203.12
юр. лицо,получение средств,2707.27,наличный,Минск,БелАгропромбанк-DBFX-229,10-07-2021,06:00:59,успешно,нет,0.0
физ. лицо,списание средств,3454.46,наличный,Витебск,Беларусбанк-JLVQ-647,17-07-2003,15:00:38,неправильный ввод пин-кода,да,96.49
юр. лицо,списание средств,853.98,безналичный,Гродно,Беларусбанк-BBYC-237,10-08-2001,23:21:08,недостаточно средств,нет,0.0
физ. лицо,получение средств,3405.76,безналичный,Гомель,Беларусбанк-LJLZ-625,20-10-2021,21:15:15,успешно,нет,0.0
физ. лицо,списание средств,2722.7,безналичный,Гомель,Белинвестбанк-BTVX-828,09-10-2020,18:14:19,недостаточно средств,да,97.97
юр. лицо,списание средств,1494.66,наличный,Минск,МаксБанк-APAJ-458,30-08-2008,10:51:19,недостаточно средств,нет,0.0
юр. лицо,получение средств,3540.33,наличный,Брест,Приорбанк-UJLY-348,06-04-2009,09:33:02,успешно,нет,0.0
физ. лицо,списание средств,3229.6,безналичный,Гродно,Белинвестбанк-DBDQ-229,05-05-2020,02:46:54,недостаточно средств,да,299.54
юр. лицо,получение средств,4605.57,наличный,Гродно,Белинвестбанк-GOAY-709,30-04-2010,19:15:47,успешно,нет,0.0
юр. лицо,списание средств,417.24,наличный,Брест,МаксБанк-ZQAW-847,01-08-2003,04:20:29,недостаточно средств,нет,0.0
юр. лицо,получение средств,185.68,наличный,Брест,МаксБанк-JEDR-698,01-12-2006,19:52:18,успешно,нет,0.0
юр. лицо,списание средств,3120.26,наличный,Витебск,Белинвестбанк-ROLG-189,01-07-2005,19:28:01,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4224.05,безналичный,Могилев,МаксБанк-RYWS-962,11-08-2023,11:16:27,недостаточно средств,да,407.51
юр. лицо,списание средств,2417.84,безналичный,Могилев,МаксБанк-QNNT-486,09-11-2004,10:36:56,успешно,да,125.98
физ. лицо,списание средств,3165.08,наличный,Витебск,Белинвестбанк-ADIF-697,12-07-2023,22:42:56,недостаточно средств,нет,0.0
юр. лицо,получение средств,1323.38,безналичный,Минск,БелАгропромбанк-GEWS-230,07-06-2017,05:10:59,успешно,нет,0.0
юр. лицо,получение средств,4084.34,безналичный,Брест,БелАгропромбанк-NXLI-776,26-12-2004,07:30:29,успешно,нет,0.0
юр. лицо,получение средств,2757.37,безналичный,Витебск,МаксБанк-KLMN-985,04-10-2010,17:26:57,успешно,нет,0.0
физ. лицо,получение средств,2429.92,наличный,Витебск,БелАгропромбанк-MMFS-819,17-01-2024,09:01:23,успешно,нет,0.0
физ. лицо,списание средств,3106.51,безналичный,Гродно,Приорбанк-HQZL-034,21-07-2011,22:29:31,недостаточно средств,да,185.22
юр. лицо,списание средств,2298.99,наличный,Гомель,МаксБанк-MNQH-506,22-04-2009,10:56:14,успешно,нет,0.0
физ. лицо,списание средств,712.81,наличный,Витебск,Приорбанк-DXVC-071,24-12-2005,22:13:38,недостаточно средств,нет,0.0
физ. лицо,получение средств,1866.26,безналичный,Гродно,БелАгропромбанк-YSKF-614,17-04-2023,17:44:41,успешно,нет,0.0
юр. лицо,получение средств,2075.88,наличный,Гомель,Приорбанк-MVCR-481,11-11-2010,14:09:51,успешно,нет,0.0
юр. лицо,получение средств,2863.94,безналичный,Брест,МаксБанк-TUDC-541,05-03-2005,03:01:27,успешно,нет,0.0
физ. лицо,получение средств,2756.14,безналичный,Гродно,Беларусбанк-NFMJ-625,13-12-2006,08:29:06,успешно,нет,0.0
юр. лицо,получение средств,1558.73,безналичный,Могилев,Белинвестбанк-MREA-567,12-08-2016,03:16:23,успешно,нет,0.0
физ. лицо,получение средств,379.58,безналичный,Гродно,МаксБанк-VFGF-893,19-04-2003,19:56:03,успешно,нет,0.0
физ. лицо,получение средств,4156.56,наличный,Могилев,Беларусбанк-AZRX-126,02-10-2018,02:19:17,успешно,нет,0.0
юр. лицо,получение средств,1043.41,наличный,Брест,МаксБанк-PYJH-350,05-01-2015,04:07:12,успешно,нет,0.0
юр. лицо,списание средств,4715.77,наличный,Минск,БелАгропромбанк-BHQF-278,30-12-2007,16:33:30,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4374.61,наличный,Могилев,Беларусбанк-ETNJ-568,29-07-2016,01:36:27,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2923.62,безналичный,Минск,БелАгропромбанк-XAMJ-647,06-11-2013,04:12:52,успешно,да,85.69
